review,rating
Food is good and packing is perfect for office set-up.,4.5
Great service quick delivery with good pack. bit expensive. thanks much apprised hope will keep ordering again and again. thanks Petoo...!!!,4.5
Petoo is one of the best place to order from and the food is packed properly and love the tase of the sweets ...and the food is served fresh and just madly in love with the quality of jamoon they server its just delicious and just cant stop myself from ordering it again and again...just one suggestion i want to is why arent you guys avaliable in all the areas of bangalore...,4.5
"All the products were fresh and the dishes had the warmth of home-made food. The chefs take great care in selecting the best quality ingredients. Express delivery. I must say after a long time, one of the best in the market to order online food.",4.5
It was my first order on Petoo. The delivery was prompt and on time. Quality of the food was very good. We liked the packing.,5.0
Awesome food. Perfect timing.,5.0
"Today I ordered food from Petoo ..to my surprise the food was very tasty n well packaged. I had ordered food from Box9 earlier but didn't like the food. We ordered Andhra Biriyani, Kashmiri Rice n some Pesto rice dish.. Biriyani was good with two big pieces of chicken n top of that few chunks of chicken with gravy.. The meat is cooked properly n the taste is good..Rest of other two dishes are equally good .. Butter chicken gravy was very tasty n well balanced with masala. All dishes came with tasty jamun.Overall a good n satisfied meal..",3.5
"one of the best restaurant in Bangalore,delicious food,good price ,fast delivery , best and quality food. 5*****star rating food.You can recommend to friends and others.",5.0
"best and quality food with fast n furious delivery .good food,good taste.good spice,good price.so totally a 5*****star rating food.I already recommend to my friends and others.go for it",5.0
Worst Quality never seen before where complete stale food is delivered for people using first time offers. Also your customer care team is so careless that even when we tried reaching you regarding this issue they are trying to ignore it & taken as a joke. Team simply told it wont happen again & no solutions at all. I prefer food inspector visit for your resturant asap as two times i have faced this issue of stale food from petoo from ST Bed Layout branch,1.0
"Food tastes good,quantity is also reasonable and quick delivery....for quick and fast and tasty food,if u have a coupon its a definite go....",4.0
Quick and best service.,4.0
"I ordered dinner from Petoo (Outlet near Doddanekundi) on 9th March, 2016. My order got cancelled due to some internet issues but the online payment got through. The next day I called the customer care to inquire about the refund and she said they would if they have CAPTURED the payment from their side and process the refund automatically.",1.0
The food was good both in quality and quantity. I order a biriyani and it was delivered within 30 min. There was constant follow up and feedback taken from there end.,5.0
Excellent food ordering app,4.5
It'll be good if you can increase the menu and also provide  some hand bags to carry the parcels. We faced too much difficulty in carrying the parcels as we had ordered around 5 -6 items.,4.0
I have been ordering from PETOO pretty regularly and i find it worth the money.,4.0
The food delivered to me was very tasty and also was delivered within 30 minutes. The quantity of rice though I feel was a little less for the price. Apart from that I loved the whole experience. Would encourage other users also to order from Petoo.,5.0
"Found this place online recently, Really great place to order food from. They've got some nice wombo combos to pick from, fair portions too. I would, however, suggest more options besides paneer related foods in veg. side. Helps reduce monotony in taste. Some extra, simply 'beverages', like nimbu paani, etc, would be sweet, too. Dank shi makes me thirstayyy.",4.0
Ordered first time on Petoo and they have delivered  good tasty food. The freshness packed inside the petoo box and taste is simply delicious. Gulab Jamun were hot and my son liked them lot. Thanks for providing nice food at my door step.,4.5
"ordered Andhra chicken biryani petoo box and Silky smooth kulfi from petoo's ramamurthy nagar branch, received it within 30mins of order. (good delivery & good packaging)",3.0
"meal was superrr ,tasty as well as your packing style is also awesome.",5.0
I got my order in very less time. Food was fresh and delicious. Lucknowi paneer tasted very much like original. Gulab jamun was the best to end the meal.,4.5
"well i and my colleagues very often order  from petoo, its like the food destination for us. Even if you have just a little amount in your card petoo comes in handy. the food is good and I always get it hot. Though they provide their patent pees and corn pulao in every meal but its ok for the rice lovers like me.also i get a discount of 140 often i refer it to my frnz. i guess that's good part for me.",5.0
Great food and great service. Delighted by the customer support executive calling after to ensure that everything was up to the mark. I would highly recommend this.,4.5
pathetic resto,1.0
the food is good and service is also good,3.5
"great food, had ordered in office,  ordered amritsari and bikaneri..were all good.. and taste prepartion all were upto the mark...traditional indian",5.0
The quality of food is good but very limited option. if they can add more food items it would be great. also delivery time is little bit higher side. you have to wait at least 45 min to get the order.,4.0
"Nicely packed food,  enough for a petoo,  a bit on d costelier side but overall manageable. Some good options for veggies,  guiding the delivery boy was easy, intelligent delivery boys 😁",3.5
Taste was good. Good delivery. Worth for money. But Veg starter was upto the expectaion. Non veg was good. Please make the stock available for long time so that people can order any time.,4.0
Made a online order... Peshawari petoo box and Andhra biriyani box..,4.5
"the order always received on time. the taste is awesome. value for money. quantity is good. even chicken pieces are in good amount u don't feel like its less. Everything is fine. nowadays price is being increased suddenly , please decrease the price so that we can order more ...number of time",5.0
Awesome service. The packing was perfect. Food was great along with freshness of chicken. I hope they maintain such level of taste and quality as I cannot wait to order again.,4.5
"The taste of food was too good and worthy... Delivery was right at time.., gravy can be little more... It was not sufficient but since everything else is good so I'm giving 4",4.0
"The food at Petoo appears simple, but the flavors have remarkable depth. Petoo is known best for its range of Biryani, Chicken Tikka, Paneer Tikka, Combos and most important is Time Management and the reputation is well deserved. Today I order Kashmiri Petoo Box and the flavour of food is Marvelous And comes under the Budget. The quality of food is really good and fruitfull.",5.0
"Yummy food and best service all time. Thanks PETOO to provide such a testy food. I suggested my friends as well, they are also happy with your food quality. Please increase your food varieties, because I have tested all.",5.0
"I had ordered a Banarasi Quick Bites, it was good, and the sides which is Matar Aloo Subzi is not a correct side for the poori.",4.0
petoo box is my favorite and never had any issues over 10 plus orders. orders are delivered on time too.  they never fail to follow up and check.,5.0
"While I was placing the order I was worried how will it taste. When I got the parcel, at first I was surprised to see the awesome packaging. When I opened I was surprised again by seeing hajmola candy wrapped with tissue paper, it's a very nice idea. I liked the food in terms or quality and quantity. I really liked the yummy gulabjamun. Some variety of rice can be added.",4.0
Food was good. It was appropriate spicy. And gulaab jamun added chard to it. I would surly recommend to try this once who all are looking for a change.,4.5
The gulab jamun is one of the best ones I have ever had. The packaging and delivery is also right on spot .The corn peas pulao can sometimes be very dry . Otherwise the food is worth the money . The outlet always gets in touch looking for an honest feedback. Definitely try the peshwari meal box .,4.0
WE HAVE ORDER FOOD TODAY WITH THE OFFER OF 400/- OFF.... IT WAS VERY QUICK DELIVERY AND THE TASTE AND QUALITY IS ALSO VERY GOOD.... I AM IMPRESSED WITH THE SERVICE.... YUMMY AND TOO GOOD..... FIVE STAR AND HIGH FIVES FROM ME..... KEEP IT UP PETOOOOO,5.0
The food was excellent. I tried the Amritsari Petoo Box and it was really good. Totally worth the money. Also the delivery was very quick. He delivered the food in less than 20 minutes. Awesome. I would definitely recommend...!,5.0
"This is the first time i ordered my lunch from Petoo, i would say they have Fast Delivery, Nicely Packed and good food, Thanks a lot Petoo for good on line food services..",4.5
Hone delivery experience!!!,3.5
I just ordered for the first time from Petoo.. Really satisfied with the quality of food and their packing.. Delivery is prompt..Overall a good experience and highly recommended......,4.5
"WOW it was awesome, Food was super and delivered on time. Also the price is less, I had ordered from Foodpanda, got 45% discount on it. What else you need. Just go for Petoo.",5.0
"This is the first time i have ordered food on zomato, it's really nice taste and nice packing and very fast delivery and also very good response from customer service....I have ordered gulab jamoons worth Rs of 200 and its superb taste, i never taste this type of gulab jamoons in my life till now....I am strongly recommending peeto to the others",4.5
Good  Food... Good stuffs.. good experience.. and on time delivery... Packing was really exiting... Waiting for the next time to order..,5.0
I ordered Gulab Jamuns from Petoo. I found quality as top class. Delivery was also quick. Though price is little inflated as compared to market.,4.0
"superb expireince . deleivered in superb time.Petoo comes in with variety of options . I ordered twice from their online portal and am gonna order again. Do try the Banarasi Quick Bites and the Murgh Platter, its delicious. Also, the bengali platter was worth mentioning, though little more item additions in the platter will be a welcome change. Good food and worth the price.",5.0
If you want to try pure north indian. This is best restaurant for online ordering. Biryani and rasagulla is very tasty and delicious. Delivery was also prompt and very fast.,5.0
Testy food with best price delivery on expected time. I find food very fancy and tasty. I would recommend to order once.I would definitely recommend others to give this a try.,5.0
Awesome experience with PETOO.....................they have excellent Indian traditional dishes........delivery service was very good...,5.0
"The meal was very good, but only less varieties available. I think the time I ordered was a little bit late, so didn't find more varieties. Also got delivered in the mentioned time. So I suggest to all for using the app. One more thing the coupons concept is awesome. Keep it up.",5.0
PETOO is awesome !!!,5.0
"I looked to encash the promo code given by them.  My experience was pleasant and the food was delivered in 20 mins. Packaging was the best I have seen till now. Food taste was good and quality of the food was also good. Minus point is that it wasn't hot. Overall a good response and a good food,",4.0
"Dear Sir, The food i orderd was so good  and very testy also and we would like to order again. The best part it is that delivery was so fast",5.0
"I ordered Hydrabadi Biriyani from Petoo, Sarjapur and got it delivered within 30 minutes. The taste of the Biryiani was nice. It came with Curd raita. Would have been better if Curry was also given. Anyway, Biriyani was spicy enough with masala so was able to eat. Overall nice experience.",4.5
very good delivery and food was awsome.,5.0
The taste and the freshness packed inside the petoo box is simply delicious. The quality of food is excellent and delivers food on time. I would definitely recommend my friend's to give this a try.,5.0
yesterday i placed a order i was very happy with the service u provided to me,5.0
i had ordered food online today and got it ontime the taste of food was very good packing was good the delivery boy was very smart this is the fast delivery i have seen till now i congradulate u guys for doing this good kind of service,5.0
"In the midst of all the different cuisines order online, you do need sometimes indian food served at your doorstep. Petoo comes in with variety of options . I ordered twice from their online portal and am gonna order again. Do try the Banarasi Quick Bites and the Murgh Platter, its delicious. Also, the bengali platter was worth mentioning, though little more item additions in the platter will be a welcome change. Good food and worth the price.",3.5
"Usually I prefer home food, so was skeptical while ordering. For the cost, I am really happy with the quality of food. All spices were well balanced; and it was delivered on time. Even the packaging was good- not the usual thin plastic containers- it was all very neat.",5.0
"I had ordered from petoo today and this was my first order with them. I ordered Awadhi Petoo Box, Veg and Non-Veg Platter. Packing was good and the food quality was very fine and the taste was nice too expect for the dryness in the corn & peas pulao.It should have boiled a little more. i would like try their other dishes as well. Delivery time was also decent.",4.5
The food taste was good and the portion was decent for two people. It was servers on time and it was hot. Keep up the quality. Thanks for making my lunch sweet.,4.0
"This is my first order with petoo. Delivery time was descent and Tate is good. Would like to refer anyone and looking forward to order it again,",4.5
its my very first order on petoo. thank god for the meal they bring very quickly with superb taste and quality. chicken is so good. hope i am ordering again.,4.5
Why accept the order when the item ordered is not available?,1.0
Best online FoOD ordering app.Ordered 3 yummy biriyani.Packing is up to the mark and quality of food so yummy and delicious.Got food on time.Best place for biriyani lover.,4.5
Thank you Petoo for Ruining my dinner by delivering stale food. Ordered Banarasi Quick Bites. The pooris were stale and reheated. Aloo Subzi had different and not so good taste.,1.0
not bad i just order the foood yesterday i didnt found the food spicy and the package was good deliver in mean time better no to go petoo...,2.0
